Id, label
23323	,	Stephen	Dodson	Ramseur										
23344	,	Otto	von	Bismarck										
23352	,	Germanic	Wars											
23409	,	Generalplan	Ost											
23448	,	Truman	Seymour											
23577	,	Battle	of	Valmy										
23597	,	Geneva	Protocol											
23623	,	Irregular	military											
23661	,	Eighty	Years'	War										
23674	,	International	Military	Tribunal	for	the	Far	East						
23695	,	Pursuit	of	Nazi	collaborators									
23707	,	J.	E.	B.	Stuart									
23800	,	Battle	of	Corunna										
23843	,	Jasenovac	concentration	camp										
23895	,	Reagan	Doctrine											
24000	,	California	Gold	Rush										
24024	,	Frank	Reginald	Carey										
24121	,	Death	squad											
24129	,	Mediterranean	Theater	of	Operations									
24142	,	Hindu&#8211	German	Conspiracy										
24146	,	Siege	of	Malta	(World	War	II)							
24159	,	Fall	of	Saigon										
24277	,	Don	Carlos	Buell										
24284	,	El	Alamein											
24300	,	Louis	Klein											
24303	,	Voting	rights	in	the	United	States							
24313	,	Battle	of	K&#246	nigsberg									
24362	,	Aylmer	Hunter-Weston											
24416	,	Nine	Years'	War										
24533	,	Anglo-Irish	Treaty											
24549	,	Battle	of	F&#232	re-Champenoise									
24572	,	George	T.	Anderson										
24603	,	Frederick	Browning											
24632	,	United	Nations	Security	Council	Resolution	713							
24721	,	First	Battle	of	the	Aisne								
24730	,	19th	Virginia	Infantry										
24758	,	Douglas	MacArthur											
24802	,	Josephus												
24813	,	Latin	American	wars	of	independence								
24832	,	Ernest	King											
24860	,	Oliver	O.	Howard										
24894	,	U-boat												
24940	,	Dakota	War	of	1862									
25000	,	Serbia	in	the	Yugoslav	Wars								
25107	,	III	Corps	(German	Empire)									
25111	,	Clark	Air	Base										
25132	,	Foreign	involvement	in	the	Spanish	Civil	War						
25211	,	Stones	River	Confederate	order	of	battle							
25233	,	Hans-Ulrich	Rudel											
25247	,	Swiss	mercenaries											
25367	,	Syrian	National	Council										
25374	,	Glossary	of	German	military	terms								
25407	,	Henry	Paget											
25418	,	English	Civil	War										
25428	,	Turkish	National	Movement										
25450	,	Robert	Stewart											
25453	,	Axis	occupation	of	Greece									
25478	,	4th	Panzer	Army										
25553	,	Ferdinand	Sch&#246	rner										
25644	,	Boris	III	of	Bulgaria									
25753	,	Fredericksburg	Confederate	order	of	battle								
25803	,	First	day	on	the	Somme								
25834	,	War	in	North-West	Pakistan									
25867	,	Werner	M&#246	lders										
25902	,	Wars	of	the	Roses									
26021	,	Battle	of	Vitoria										
